,mae,mse,rmse,r2
train,1077.5614013671875,1185418.875,1088.7694315143128,-47.822052001953125
val,1100.8345947265625,1243417.375,1115.0862634791984,-38.3726692199707
test,1338.646728515625,1825786.125,1351.2165352007796,-53.00005340576172
