,mae,mse,rmse,r2
train,0.02122838964410596,0.0020380305445439756,0.04514455165957433,0.9999326091769598
val,0.05792354481246966,0.017056069544245645,0.1305988879900807,0.9994377096478738
test,0.10235097095713613,0.09639677464341981,0.31047829979471964,0.9979528686680078
